BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
LOC100642437	1995.9982	2046.0001	1882.9979	1645.996	1452.0049	1638.0038	2264.0016	1634.998	1459.0041	1568.0039	1383.0012	1458.0019
LOC100642438	103	238	173	209	148	241	251	145	257	122	194	131
LOC100642439	409.5081	577.9999	442.9997	511.0001	359.9997	425.0005	538.0005	398.0005	363.9996	386.9996	375.0004	401.00000081262
LOC100642440	879	729	747	657	627	579	785	704	579	648	410	514
LOC100642441	366	327	389	332	316	331	474	402	294	314	285	290
LOC100642442	2768	1891	1711	2723	1927	1005	4162	3082	4184	4644	3519	1057
LOC100642443	412	718	278	2372	452	210	1459	1721	78080	5656	3694	421
LOC100642444	1365	1791	2720	2344	1350	1736	2280	1296	948	1091	1374	1567
LOC100642445	759	992	763	846	741	736	1005	811	770	646	647	677
LOC100642446	0	2	0	0	1	1	2	1	1	1	0	1
LOC100642447	596	689.319	581	480	593.361	593.219	675.047	428.035	593	569	479.304	508
LOC100642448	371.838	462.695	367.997	458.671	368.374	319.958	474.977	319.809	323.81	461.262	280.566	287.592
LOC100642449	25143.046	28721.99	26715.98	21231.03	17670.988	19478	20366.987	17745.022	20188.012	21516.032	16085.97	16465.997
LOC100642450	2486.0036	4011.0019	2536.0049	3106.9687	2561.996	2678.9586	3785.9982	3057.0005	3883.998	3389.003	2421.9974	2381.0004
LOC100642451	396	768	444	503	446	503	483	402	413	412	401	466
LOC100642452	189	369	218	213	185	178	198	157	180	205	156	201
LOC100642453	262.9999	212	200.00019	112.00007	184.9999	162	190.000400017928	142	150.8566	213.9996	94.99996	131
LOC100642454	4017	8979	5610	4466	5422	4889	3890	5304	5718	2425	3328	4504
LOC100642455	385.0001	363.9999	387.9996	333.0003	274.0002	289.9995	414.9998	278.0004	239	278.0004	210.00021	271.9997
LOC100642456	2045	2133	1735	1586	1563	1749	2310	1685	1284	1435	1400	1429
LOC100642457	2962.999	2436.998	2893.001	2489.001	2403.003	2074.005	2987.998	2460	2207	1952.001	1401.001	1754
LOC100642458	604.0324	359.3025	265.8788	291.4595	295.881	280.979	296.5925	277.6836	464.33685	245.65936	256.50708	206.76387
LOC100642459	49	60	65	49	59	50	76	73	39	59	24	36
LOC100642460	16.000014752817	23.999987	9.9999976568	23.0000484687	14.00000259	18.999953	13	10.0000004	12	20.00002234	16	8.0000005585
LOC100642461	1003	1606	1007	1224	1112	1223	1398	1061	1207	925	985	1003
LOC100642462	298.9998	283	257.9999	219.0005	221.9998	214.9999	272.9995	219.0003	203.0003	227	153	199.0002
LOC100642464	2442.002	2269.997	2116.0023	1986.658	1940.2554	2057.999	2799	1938	1872	1955.9984	1526.0005	1678.6218
LOC100642465	11891	17134	11672	12745	12116	14388	15622	12390	12269	8640	11234	11869
LOC100642466	201.257	198.759	206.479	180.776	138	184.365	203.395	145.772	134.769	150.388	131.744	147.851
LOC100642467	3817	3567	3180	2819	2902	3006	3599	3634	2942.97	2884	2484	2674
LOC100642468	5498.52	5916.08	4862.03	4604.03	4565.21	4925.8	5888.95	5046.58	4653.37	4004	4290.66	4010.62
LOC100642469	54	62	68	35	38	42	62	51	43	36	47	42
LOC100642470	1856.9974	2621.9961	1676.9969	2223.0046	1837.0005	1984.9954	2239.9998	2076.003	2239.998	1693.000004947	1635.0001	1550.9991
LOC100642472	359.0002	527.9996	606	444.9998	363.5131	462.0001	427	446.446	398.9997	285.9999	362.5359	455.9999
LOC100642473	1430	1665	1612	1371	1363	1318	1509	1284	1164	1245	1090	1111
LOC100642474	628.46	470.77865	715.9023	587.8101	421.8616	374.3537	492.35238	437.8805	476.9309	493.9156	278.2515	430.0638
LOC100642475	1422	1703	1397	1340	1064	1477	1210	1317	1316	1287	1190	1083
LOC100642478	274	326	303	299	235	241	322	204	215	312	243	167
LOC100642479	1875.591	1649.3379	1285.943	1326.097	1375.213	1495.514	1947.789	1613.824	1293.7633	1366.165	1079.206	1091.043
LOC100642480	28451.9969	59809.0054	37467.043259	40996.025341758	30221.9906545	35865.998	33379.9401006729	32013.99741	34719.9900728448	24725.0065	30131.0018780105	29598.9970443409
LOC100642481	194	328	271	246	216	235	288	187	213	170	218	200
LOC100642482	392.094	272.005	593.903	275.889	268.846	453.545	328.733	255.856	330.695	308.46	264.16	356.941
LOC100642483	5523.9985209	2277.997	3470.999	2494.003	3048.004	2543.002	3415.002	3262.996	3086.995	4002.998	1753	1895.003
LOC100642484	7.65166	46.3472	14.5765	15.28658	4.25177	3.16348	12.1105000291989	10.67578	1.06358	4.03686	6.15743	14.2864
LOC100642485	348	518.147	440.633	374	298.427	390.518	408	363.498	349.09	354	325.507	325.527
LOC100642486	892.9997	990	856	811	719.0002	762	840	877	673	769	636	688
LOC100642487	1163	1379	1189	979	782	1037	1100	1025	921	980	785	1041
LOC100642488	197	143	94	109	153	68	132	190	213	98	63	61
LOC100642490	48	30	46	29	29	29	43	28	41	44	27	31
LOC100642491	2021.0011	1094.9991	1452.0006	940.9998	856	1171.999	1087.99994952	1409.9995	351.0002	1700	563.0004304	1354.0007757
LOC100642492	367	358	252	235	252	285	329	290	273	424	228	204
LOC100642493	364.9997	500.0004	286.0002	380.0008	390.9995	475.0005	490.9993	387.0002	356.0002	292.9995	442.0002	328.9998
LOC100642494	544.9999	736.9991	521.9998	588.9997	509.9999	555.9995	626.001	604.0005	558.0002	496.9999	460.000000153592	495.9996
LOC100642495	5007.63	8328.11	4629.52	6692.28	5867.54	7391.52	6888.57	5906.41	6262.3	5306.51	6541.49	5563.34
LOC100642496	2461	2726.002	2246.996	2172.0033	2314.995	2593.0051	2524	2015.0007	2689.001	2241.0039	1765.9953	1957.0012
LOC100642497	32.0000001417044	43	28.00004	30	36.99995	30	59.00006	38.00001	39.99999	53.99999515	24.99999	22.99998
LOC100642498	719.7039756	537.561777	602.21408	423.0183685	395.833206	411.752844161095	526.81243	370.948104	362.018677	412.373010836	283.61794706	326.168951
LOC100642499	555.8905	678.0003	547.8983	395.9997	396.0001	431.9999	531.999	323.9996	417	397.9999	281	426.9993
LOC100642500	3846.004	2294.997	2804.999	2907.997	2237.002	3493	2957.004	2028.997	3446.002	3359.004	1462.003	2114.001
LOC100642502	1020	1362	1047	970	668.001	805	808.999	716.001	899	695	538.9997	764
LOC100642503	125.9999	82.00003	89.99999	74	103.0001	84.99995	113	91	54	94	51	81
LOC100642504	6427	3989.999	2991.003	2244.004	4469.998	3053.996	3126.005	5556.9959	3279.9974	3023.999	1722.002	2292
LOC100642505	2851.99700954986	2346.995627	2448.00200408051	2149.8476	1845.00134	1928.002382796	2672.001	2330.99900102611	2070.0000125236	2145.0017	1562.99970002968	1708.00087
LOC100642507	298.2417	220.1258	269.31	205.3305	196.0636	176.1224	247.199	240.2691	196.06665	236.3015	115.17242	143.2163
LOC100642508	186.9999	88.99997	68	43.00001	76.99999	89.04285379	79.00001	91.0162	75.99994	96	45.0000000237624	53.00006
LOC100642510	2784	2415.001	2126.001	2029.002	2225	2184.005	3146	2504	2250.999	1865.996	1599.998	1658.996
LOC100642511	2506.51	3537.78	2347.88	3179.44	2748.13	3031.13	3413.75	2995.42	2808.15	1985.23	2527.3	2307.37
LOC100642512	97.0001	73	63.00007	55	54	53	75	69.99996	66	88	36.00004	39
LOC100642513	174.9995	73	73	38	101.00001	73	111	125	48.0000479	52	55	59
LOC100642514	2831.928	4069.887	2726.812	2853.904	2725.962	3027.936	2647.957	3458.865	2867.968	2097.925	2407.789	3395.947
LOC100642515	13334.4	8710.24	19787.4	9951.46	6159.28	4738.82	6922.25	8153.36	6710.93	9709.68	3853.31	7138.91
LOC100642516	515.9994	748	501.9996	374.9996	422.9995	488.0003	640.99946	454.0000326502	345.00001	355.00006	357.0004	437.00052
LOC100642518	888	1125.9973	1157.9961	961	672.9997	780.9999	1106.9973	968	816	881.0002	652.0005	781.0005
LOC100642519	632	720	634	625	561	570	624	625	507	573	487	563
LOC100642520	244.9997	260.9999	268.0004	220.0002	184.9996	211.0005	286.9999	209.0003	185	213.0004	182.0001	202.99982
LOC100642521	315	334	278	279	268	299	311	258	273	256	238	235
LOC100642522	2505.9952	1998.004	1905.997	1635.3026	1757.3119	1479	2097.5553	1917.9951	1660.998	1788.001	1203.32120053934	1365.3032
LOC100642523	741	1044	818	820	660	688	998	637	617	684	614	704
LOC100642524	194	239	92	107	133	100	88	139	130	184	84	87
LOC100642526	778.9992	752.999565	764.000645	831.99955317	660.000547	758.000214733	1714.0005	833.999854230538	698.00060556399	637.000533727	501	550.00050554297
LOC100642527	477.99920673619	361.9998325816	379.9995	373.0004	292.9999	278.9998452669	338.9998	352.9999	337.99983128	368.9997310017	194.00005034	249.0000936
LOC100642528	654	821	701	668	610	718	1103	703	629	653	579	578
LOC100642529	818	812	796	652	628	667	942	553	582	687	560	549
LOC100642530	1089	835	921	547.0008	412	850.0001	801	677.9997	772	876.999	573.9999	466.0001
LOC100642531	589.9997	688.99999	498.00022	475.0004	443.0001	474.00003	670.0002	471.99971	475.99971	538.0002	356.99961	431.0003
LOC100642532	807	831	748.00013	726	636	723	941.9995	715.00033	584	764	559.00006	576
LOC100642533	187	279.9998	346.9996	256.9999	186	245.0004	234	138	144	295	193	158
LOC100642534	562	635	505	417.0001	427	386	602	561	430	436	276.9995	417.9999
LOC100642535	3744.1497435636	5477.6486	4335.15797	3605.9053	3396.56111	4383.4239369	4556.6307	3460.0879	2969.9324087	3281.9064	4120.22957	3738.7808
LOC100642536	3191.2	4377.09	2785.62	3020.19	2690.96	3456.05	4247.31	2893.86	2934.61	3133.19	3625.19	3004.93
LOC100642537	14828.998	18095.9977	16342.961	14919.026	12785.0164	12936.9802	16778.984	11847.0289	14333.996	17498.997	11423.9971	11093.969
LOC100642538	804.0001	976.0001	787.0003	809.0005	615.9996	825	991.0004	774.9999	765.0001	732.0004	632.0002	599.0002
LOC100642539	419	281	262	193	251	274	367	246	493	338	210	210
LOC100642540	1258.0487	1179.0328	1072.0479	1028.0864	1118.0019	1086.0895	1645.4076	1291.1472	1155.9997	914.9997	728.0007	893.0527
LOC100642541	667	707	694	680	551	514	706	609	567	554	434	553
LOC100642542	442.9995	399.0003	306.99954	312.0004	353.99994	315.9996	430.9998	389.9996	291.0002	316.0003	266.0004	315
LOC100642544	7718.47	18448.28	12131.88	16377.28	12324.33	14668.54	14266.33	12768.27	13283.34	9771.53	12694.51	11815.57
LOC100642545	7	4	0	1	7.00000348	3.00000205	7	4	5	7	2	6
LOC100642546	0	8.40562	1	3.76307	2.57639	2	0	2	2	0	0	1
LOC100642549	1158.71	1497.97	1020.26	1248.44	1084.3	1416.79	1452.42	1065.45	1130.81	1012.79	950.201	1007.45
LOC100642550	665	667	532	444	459	535	547	447	499	469	362	454
LOC100642551	1553.888	1854.991	1272.52	1603.758	1281.474	1403.466	1771.438	1369.554	1468.777	1230.516	1272.484	1151
LOC100642552	17233	17334	14349	15139	12422	13486	18622	13335	14313	14935	11265	10871
LOC100642553	2505.0008	2518.996	2255.0028	1564.0011	2223.0021	1792.9988	2177.0003	2490.9984	2328.9986	1609.9999	918.0002	1539.9998
LOC100642554	46	47	44	32	40	37	35	24	28	37	31	26
LOC100642555	2436	2485	2106	2477	2008	2447	2639	2249	1740	1504	1555	1911
LOC100642556	3070.598	2707.893	2711.7	2492.912	2554.725	2417.672	3145.982	2817.648	2503.705	2433	1634.0009	1947.002
LOC100642557	413	406	414	352	303	348	395	338	337	344	260	363
LOC100642558	1807	1883	1664	1647	1356	1445	1941	1526	1415	1507	1230	1192
LOC100642559	98	46.000012249	44.000064183	29.999974563	40.000051787	36	51.00001302	77	38.999972045	32.000011118	29.00001614	19.999981187
LOC100642560	416	554	403	463	341	421	505	462	377	449	373	383
LOC100642561	2279.3588	2434.0008	2408.2345	2440.3076	1838.4855	2000.271	2497.6444	2007.1404	1870.2021	1791.601	1621.2527	1839.045
LOC100642562	7123.95	9848.97	6098.95	6406.91	5602	6557.91	5251.59	4572.85	6366	5233	3737	4579.95
LOC100642563	359	432	329	363	295	366	391	346	292	284	231	281
LOC100642564	13	13	26	50	13	8	46	42	81	29	24	11
LOC100642565	1327.3603	2126.84961	1297.30625	1343.76273	1040.7142	884.3992	2012.49087	1203.7355	1165.1762	1477.73479	1032.06333	942.0239
LOC100642566	278.162	381.305	326.003	289.329	253.626	289.042	423.023	257.191	223.19	308.738	235.434	236.408
LOC100642567	8718	11453	8023	8646	6961	8957	7194	8241	7894	6675	6255	7202
LOC100642568	1091.2764	1007.600692	725.185	811.93	948.954	1039.0955	1339.7946	905.892	863.9358	990.291268	998.9962	667.948
LOC100642569	251	253	221	190	199	199	249	174	168	200	150	173
LOC100642571	2730.994462	2457.0009	2473.9979291818	2090.0036	2074.00153448	2415.001708	2900.993444868	2198.00381786	2103.99740188312	2010.00074473	1702.00180004001	1696.99576
LOC100642572	279.114	362.504	169.48	279.853	251.461	276.859	72.2919	195.476	204.418	135.185	250	195.947
LOC100642573	0	1.48599	0	1.50776	1.19024	0	0	0	0	0	2.49102	1.24279
LOC100642575	2	5.22832	1	0	2	0	6.4927	1	3	5	1.03341	2.60839
LOC100642576	2371	3157	2131	2482	2418	2286	2753	2210	2688	2164	2089	2132
LOC100642577	232.9997	253.0002	259.0001	202.00004	176.0002	184.99974	269.00011	195	208.99961	214.00041	177.99988	179.99956
LOC100642578	961	1033	758	775	780	857.929	1091.94	894	780	876	771	681
LOC100642579	460.964000742995	462.5011	363.5128	366.207000667796	362.0124	386.1733	376.2091	320.1426	388.5251	399.499	247.2998	305.377000015837
LOC100642580	1519.9999	1676	1665	1633.999	1435	1518	1692	1540	1311	1098.0005	1069	1236
LOC100642581	1666.00871001687	1809.8193	1409.9996479	1266.999326	1298.85199	1592.9996	1431.9999	1154.9994	1272.99995	1108.8883	1163.933094125	1189.0002
LOC100642583	288	282	203	239	205	187	248	254	229	214	140	193
LOC100642584	733	613	767	587	786	814	1170	774	601	405	432	369.0003
LOC100642585	3711	5103	3262	4200	3884	4477	4834	3581	3864	3147	3663	3467
LOC100642586	7.0699704011144	24.2003	15.065	42.99997474286	12	13.99996627348	47	33.00002831784	7	25	11.00000563646	20.99997945132
LOC100642587	152.312	202.2378	184.2829	148.837	114.04139	104.394	161.597	117.163	147.0219	163.24058	112.271	148.4616
LOC100642588	36.2143	28.4184	36.5024	41.1111	56.6991	45.1381	52	63.3098	45.1336	41.5577	30.9273	30
LOC100642589	31	22	26	35	24	20	47	21	19	33	13	10
LOC100642590	421	576	420	427	406	375	571	385	388	396	401	296
LOC100642592	10	5	8	7	9	8	10	6	3	9	2	9
LOC100642595	242.9997	122	110	123.9998	110	114	124.0004	94	130	150	92	85
LOC100642596	1503.145	1152.58	1287.053	1202.906	1215.589	1072.592	1495.652	1167.352	1006.365	1190.393	797.112	862.226
LOC100642598	285	427.00041	560.99991	462.99994	312.00047	415	418.99983	276.0005	249.0005	348.99952	338.99951	341.00022
LOC100642599	18	30	25	26	14	21	19	9	17	19	13	19
LOC100642600	7009	9450	7561	7139	6499	7523	8477	7002	6739	5648	6254	6750
LOC100642601	374.466	390.932	349.222	297	272.403	252.4	415.224	279	282.228	323.213	258.236	273.431
LOC100642602	7382.0001	10147.952	7985.001	10031.004	7565	8390	19282.023	9127.997	7006.005	6441.996	6762.001	7534.001
LOC100642603	13001	18483.01	11458	14510.99	15559	19432	17549	16511	16216.99	11189.99	15235	13465.01
LOC100642604	44	16.99996	19	6	6	14	9	9	12.99997	3	7	28.00003
LOC100642606	485.9998	626	382.9997	413.9999	387.9996	441.0005	558.9999	469.0002	392.0004	461.0005	448	357.0005
LOC100642607	4582.0023	6419.559	3658.9996	4614.9942	3590.9998	4924.9955	3829.999	3645.9989	4166.001	3035.9369	3585.092	3468.0001
LOC100642608	231	430	248	305	319	346	316	342	285	247	417	229
LOC100642610	22230.98	24985	21018.98	20638.99	14458	17990	19013	14303.99	17131	17883	14656	13021
LOC100642611	157.64543	139.6620275478	144.66063	96.69223	96.000000599	116.55251	129.5811	80.723486831	86	111.99992	75.000071845	97
LOC100642612	151.00018	170	159.99969	104.99997	120.99987	137.0001	146.99962	120.00022	133.0002	173.00028	103.99998	130.00042
LOC100642613	1382.99	1117.77	1200.76	1100.81	1083.73	949.781	1474.55	1086.44	1041.05	1129.07	684.352	785.395
LOC100642615	43.1096	31	22.1014	20	31	27	32	29	51	40	4	14
LOC100642616	21.99998	25	19.99999	17.99999	11	12	42.99995	15	21	19	15	11
LOC100642617	2	2	4	1	5	4	2	2	3	1	4	2
LOC100642618	10.0000000394539	11	8	9.000005	8	6	13	12	9	11	7	5
LOC100642619	127	159	171	131	117	119	129	108	120	113	79	106
LOC100642620	125.00004	99.000008403	117.04904	84.99996	101.00001	83	134.99951	75	99.99999	122.00755	58.00002	73.99998
LOC100642621	2363.9958	2239.996	2388.003	1833.996	1626.002	1605.0019	2177.995	2005.999	1748.995	1735.9953	1127.9999	1621.005
LOC100642622	2544	2032	1795	1609	1645	1658	2904	1690	1463	1961	1356	1360
LOC100642623	2555	4975	3437	3602	3230	3799	5236	3186	3106	2915	3210	3223
LOC100642624	482	529	471	483	391	450	489	513	462	384	345	390
LOC100642625	68.00008	42	49.00001	42.99997	45.00001	43.00007	69.0000069	66.9999	58	127	39	39
LOC100642626	922.6697	1060.4134	811.8274	973.9999	688.7113	847.9999	1064	851.3131	698.8275	748.6368	651.9998	675.8664
LOC100642627	2403.9982	2436.9991	2219.0007	1951.00437	1646.0017	1850.0022	2001.99469	1726.003	1868.9983	2006.0035	1411.99966	1625.999
LOC100642628	190.186	251.506	288.191	267.934	179.462	194.103	204.191	237.264	250.086	222.42	131.907	178.469
LOC100642629	4379.99605472975	4515.99656594812	3803.00331787621	3771.00180320838	3764.9993618242	4084.9967783583	7557.99553674745	3739.00195001239	3276.99679942575	3055.00474243599	2705.002570656	3199.00286961362
LOC100642630	250.21148	253.8501	242.275	266.4615	171.7411	190.3302	246.589	197.8746	208.2859	203.49228	163.41359	200.029
LOC100642631	1755	1393	1426	1291	1155	1267	1698	1410	1163	1184	939	915
LOC100642632	381	519	640	567	487	445	566	381	557	314	586	318
LOC100642633	2407	2547	2124	1664	1608	1562	1218	2068	1757	829	852	1346
LOC100642634	284	331	269	305	246	337	355	274	304	271	257	260
LOC100642635	1572.413	1638.005	1562.998	1320.002	1316.999	1363.997	1590.998	1282	1088	1251	1025.613	1113.584
LOC100642636	1532.0003	1992	1730.99998	1540.00027001791	1424.0001	1680.9999030222	1890.99973	1321.999	1411.0007	1203.99985	1274.00086	1348.99955
LOC100642637	8477.99	7479	7795	7451.0095	8079	7649.01	11470	7787	6315.01	6023	5167.999	5440
LOC100642638	41	66	35	84	47	44	40	42	48	65	38	59
LOC100642639	872	939	918.9999	799.9997	698.9997	797	1196.9989	738	721.0001	653.9997	606.0005	716.9998
LOC100642640	815	937	716	671	522	655	717	602	604	701	719	587
LOC100642641	78.99999	45.999999	43	45.99998	51.00004	52.99996	47	42	36.00002	56	32.000044	29.99999
LOC100642642	1632	1074	1394	1279	1034	790	1395	1223	879	1042	708	873
LOC100642644	378	392	154	210	231	367	142	211	270	251	258	151
LOC100642645	4802.88	4983.79	5929.95	4936.43	3453.13	3970.12	5005.06	4009.51	3437.02	4013.94	2827	3955.05
LOC100642646	757.99957	1015.99948	1025.0003	825	793.99972	851.03492	880.9997	857.99992	792.99959	751.99988	700.99992	871.0325
LOC100642647	963.486	1079.805	1053	924.936	878.756	973.953	866.788	987.944	756.752	849.736	827.8698	785.5985
LOC100642648	1012	1022	950	912	872	903	1222	971	765	702	615	796
LOC100642649	536	619	547	523	477	525	742	440	465	566	493	462
LOC100642650	49081.0505	34419.0015	28161.9785	31860.9743	27688.0154	30126.976	33982.0397	29627.9736000808	28517.029	30978.9934	29330.0178	24984.052
LOC100642651	3815.004	2566.9976	2953.998	3402.9953	2901.9984	2749.003	3030.0012	3453.0031	2434.004	2752.997	1969	1956.0027
LOC100642652	107312.000151566	99499	98228	74894.9	72705.59	86107	64576.9000000181	71752.9	82086.0000116916	75333.7100043823	61428.97	67211.94
LOC100642653	1317	1459	1772	2569	1394	1642	1820	1293	1959	1443	1515	2279
LOC100642655	3466.0014	2992.0046	4132.0022	2905.005	3336.9961	2833.998	2591.9961	2724.9959	2718.002	2032.9987	1881.9997	2671.0005
LOC100642656	1336	1917	1339	1491	1272	1485	1560	1321	1569	1185	1208	1428
LOC100642657	76.99992	106.99994	75.0001	78.00002	64	56	77	66.99999	66	57.9999959	46	74
LOC100642658	1530.2223	1911.694	1509.633	1359.915	1391.611	1691.491	1712.86	1300.431	1370.3492	1224.431	1302.686	1271.666
LOC100642659	1195	2058.9963	1417.996	1771.99671	1708.00045	2291.0024	2000.00131	1766.00002	1882.00257	1313.0004	1654.00389	1586.00432
LOC100642660	2573.003	3544.998	2568.9989	3106.003	2835.002	3231.997	4018.004	3086.995	3049.998	2233.996	2653.004	2587.998
LOC100642661	1229.0002	240	1370.9998	478	489.9998	383.0001	331.9992	749.0004	275	894.0002	189.0003	217.9997
LOC100642663	482	514	486	421	349	429	476	378	333	391	337	410
LOC100642664	22755.99	34318.046	26784.996	29126.027	19210.008	25488.978	27044.014	25256.981	16321.002	15848.002	17450.007	21698.004
LOC100642665	2469.014	2369.17	2392.055	2017.688	1943.374	2163.891	2563.765	2131.168	1982.956	1830.547	1534.812	1729.6603
LOC100642666	25	13	14	16	9	12	14	16	8	29	5	10
LOC100642667	4.0275218	0	2.0007691	0	4.393588	10.187	0	3.18449	8.361074	9	2.0252346	6.493044
LOC100642668	1884.999	2012.0023	1807.9962	1501.997	1334.0006	1519.0015	1741.995	1367.0017	1361.001	1437.0046	1237.0005	1206.9996
LOC100642669	9310.997	6709.001	10486.9998	7699.995	7492.997	7433.003	9698.0069	8308.005	6726.007	6500.0015	4253.00100002284	5499.005
LOC100642670	247	418	353	385	278	356	509	344	327	287	351	302
LOC100642672	1563	2308	1936	2010	1390	1783	1760	1629	1507	1381	1392	1768
LOC100642673	2936.11	4445.01	2899.48	3819.25	3243.52	4312.53	5044.56	3120.45	3324.22	2845.49	3152.51	3217
LOC100642674	8999.847	8490.796	6693.8265	6371.8127	7037.9951	6618.8042	7091.9968	8649.0045	8388.99399	5986.9939	5051.7948	5497.2146
LOC100642675	5	10	5	7	10	2	2	4	2	3	3	6
LOC100642676	181114	244252	214148	162571	176478	195517	280898	169512	159773	170936	121302	156442
LOC100642677	58.000000771462	64	63.0000049327	49	32.00003	37	33	29	49	62	35	28.00002
LOC100642679	1114	1125	1350.005	1093	746	891	969	998	859	896	681	877
LOC100642680	6158.003	1688.002	2836.999	2290.998	1829.996	1366.0006	3269.004	2368.0044	2529	5736.998	719	1102.003
