target_id	length	eff_length	est_counts	tpm
Caust.v2_011754-RB	2421	2160.67	96.7666	1.71247
Caust.v2_011768-RA	450	191.22	1.30779	0.261511
Caust.v2_011764-RB	2799	2538.67	106	1.59657
Caust.v2_011759-RB	1521	1260.67	155	4.70129
Caust.v2_011758-RA	2109	1848.67	5708	118.062
Caust.v2_011778-RA	1977	1716.67	5	0.11137
Caust.v2_011767-RA	192	27.4518	29	40.3938
Caust.v2_011764-RA	2799	2538.67	106	1.59657
Caust.v2_011774-RA	498	238.632	28	4.48658
Caust.v2_011766-RA	2091	1830.67	136	2.84064
Caust.v2_011775-RA	978	717.671	1267.1	67.5108
Caust.v2_011765-RA	2298	2037.67	114	2.13923
Caust.v2_011777-RA	477	217.889	8	1.40392
Caust.v2_011776-RA	1248	987.671	190.369	7.37005
Caust.v2_011761-RA	1140	879.671	21	0.912823
Caust.v2_011754-RA	2421	2160.67	96.7666	1.71247
Caust.v2_021190-RA	195	27.2485	10	14.0328
Caust.v2_019714-RA	1422	1161.67	0	0
Caust.v2_021983-RA	315	69.9422	56.6707	30.9818
Caust.v2_017046-RA	363	108.573	0	0
Caust.v2_017045-RA	10539	10278.7	1884.23	7.00945
Caust.v2_021758-RA	744	483.851	0	0
Caust.v2_019160-RA	219	29.5107	0	0
Caust.v2_018058-RA	1329	1068.67	6	0.214681
Caust.v2_017594-RA	1608	1347.67	0	0
Caust.v2_017593-RA	1035	774.671	3.57198	0.176311
Caust.v2_017595-RA	2280	2019.67	52.3291	0.990718
Caust.v2_016879-RA	327	78.687	155	75.321
Caust.v2_016879-RB	819	558.83	45	3.07907
Caust.v2_016879-RC	264	41.1909	42	38.9883
Caust.v2_016881-RA	486	226.78	46	7.75604
Caust.v2_016879-RD	390	133.179	23	6.60359
Caust.v2_019483-RA	1371	1110.67	12	0.413127
Caust.v2_019443-RA	276	46.5944	0	0
Caust.v2_019444-RA	1302	1041.67	175.521	6.44295
Caust.v2_019444-RB	522	262.505	29.3428	4.27415
Caust.v2_016314-RA	2811	2550.67	52	0.779536
Caust.v2_016317-RA	213	28.7403	0	0
Caust.v2_016312-RA	2796	2535.67	705	10.6312
Caust.v2_016310-RA	357	103.29	272	100.693
Caust.v2_016315-RA	276	46.5944	25	20.516
Caust.v2_017433-RA	1629	1368.67	12.1209	0.338629
Caust.v2_017432-RA	2148	1887.67	274	5.55024
Caust.v2_017804-RA	1470	1209.67	350	11.0634
Caust.v2_017802-RA	2466	2205.67	233	4.03927
Caust.v2_017803-RA	639	379.096	635.5	64.0993
Caust.v2_020832-RA	627	367.126	0	0
Caust.v2_020536-RA	648	388.065	0	0
Caust.v2_020537-RA	192	27.4518	7	9.75022
Caust.v2_010692-RC	5019	4758.67	126.377	1.01548
Caust.v2_010683-RE	516	256.532	1807.33	269.391
Caust.v2_010684-RA	4803	4542.67	591	4.97466
Caust.v2_010683-RF	1725	1464.67	778.232	20.3168
Caust.v2_010683-RA	699	438.954	16.8839	1.47076
Caust.v2_010692-RB	5019	4758.67	126.377	1.01548
Caust.v2_010691-RA	2748	2487.67	1063.27	16.3432
Caust.v2_010697-RA	885	624.794	761	46.573
