CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_000551	1036	594	913	766	653	947	656	1030	793	672	569	687
Caust.v2_000552	1687	1332	1436	1829	1318	1212	1108	1616	1129	1197	1235	1452
Caust.v2_000554	2938	2524	2823	2677	2855	3672	2383	3555	4178	2069	2497	3436
Caust.v2_000555	3633	1289	2058	2487	966	2674	3079	3609	2095	2080	1900	3320
Caust.v2_000556	571	219	331	319	206	512	744	820	333	296	281	1120
Caust.v2_000557	6035	5477	5918	6744	5047	6417.29	8485	10353	5671	5446.59	5399	12535.8
Caust.v2_000558	209	138	211	163	111	195	310	321	162	118	218	457
Caust.v2_000559	313	258	356	311	293	287	292	417	311	281	321	315
Caust.v2_000560	1217	777	1102	1086	834	1079	1026	1360	1007	796	905	1550
Caust.v2_000561	428	930	563	935	492	434	421	484	637	457	712	389
Caust.v2_000562	314	239	267	308	222	285	372	431	278	244	297	673
Caust.v2_000570	323	234	182	247	164	174	122	190	286	270	173	175
Caust.v2_000576	1080	1117	858	1115	951	613	453	570	837	768	817	530
Caust.v2_000578	2427.998	1657.998	2175.998	1882	1409.002	1930.002	1982	2313.998	1639.002	1576	1664	2456.998
Caust.v2_000579	3630	4376	3692	5409	3763	3169	2660	4049	3121	3082	3772	3018
Caust.v2_000580	191	95	175	130	126	138	172	192	137	107	97	144
Caust.v2_000581	522	322	479	453	331	461	439	475	406	374	345	465
Caust.v2_000582	507	62	173	139	535	100	33	105	305	50	248	36
Caust.v2_000583	1280	847	1035	1207	814	983	1091	1365	868	994	939	1489
Caust.v2_000584	540	544	459	484	463	332	419	457	329	246	382	599
Caust.v2_000585	5	3	3	5	1	3	1	3	0	3	1	1
Caust.v2_000590	52.3118	33.3696	51.9857	61.8962	57.1636	49.1781	38.8632	77.6169	49.1803	59.4457	84.2848	38.3929
Caust.v2_000594	27	43	33	41	29	11	20	22	39	16	24	35
Caust.v2_000601	151	202	239	136	140	67	61	110	81	115	97	76
Caust.v2_000602	415	256	281	422	246	362	399	457	308	331	335	512
Caust.v2_000603	195	441.477	151.4058	666.231	626.772	186.9999	79.116	292.5972	409.629	301.968	280.6332	55.3431
Caust.v2_000607	18	72	16	116	92	34	6	35	69	49	43	7
Caust.v2_000610	0	0	0	0	1	0	2	0	0	1	2	2
Caust.v2_000618	3	0	13	5	1	21	1	5	1	5	6	3
Caust.v2_000620	198	155	159	167	158	173	146	209	192	117	165	156
Caust.v2_000621	38	71	109	46	44	52	172	55	84	54	96	414
Caust.v2_000622	11	8	13	15	8	8	11	10	11	18	11	11
Caust.v2_000626	22	11.0384	25.1439	26.0965	19.1848	9	15	32	39.1355	18.011	22.0403	34.2267
Caust.v2_000630	86	71	54	119	73	63	40	73	83	75	71	81
Caust.v2_000632	2339	1313	1996	1938	1218	1785	1466	1882	1367	1594	1260	1659
Caust.v2_000633	732	645	567	1081	820	591	727	653	539	643	766	954
Caust.v2_000634	25	24	20	15	9	14	19	51	19	13	30	33
Caust.v2_000635	184	195	200	189	171	143	103	111	200	134	146	133
Caust.v2_000639	2556	2848	1327	3219	1515	1915	1897	3145	1577	1852	2349	3113
Caust.v2_000641	1569	1604	1371	1702	1054	1090	1289	1523	1141	1014	1270	1123
Caust.v2_000643	13	9	7	6	12	5	7	6	22	12	10	8
Caust.v2_000645	0	0	0	0	0	1	0	1	0	0	0	0
Caust.v2_000646	0	0	0	0	0	0	0	0	0	1	0	0
Caust.v2_000647	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000648	3	3	1	2	5	3	1	2	3	4	4	6
Caust.v2_000649	1356	1018	1299	1223	936	1189	1528	1703	1167	1011	1065	2215
Caust.v2_000650	8	11	19	5	14	11	15	15	12	10	9	11
Caust.v2_000651	207	250	164	250	233	143	161	232	230	126	266	240
Caust.v2_000652	392	208	288	248	197	278	354	398	281	240	248	503
Caust.v2_000653	701	186	391	457	197	641	1323	1132	364	490	412	2215
Caust.v2_000655	1205	719	900	1339	857	894	803	993	994	933	941	936
Caust.v2_000656	234	138	143	198	126	148	94	160	134	177	127	132
Caust.v2_000657	9	10	7	7	17	9	12	17	5	5	11	29
Caust.v2_000660	1.999997	0	10.00001	6.99999	7.000003	5.000003	2.000001	2	12.000007	5.00001	5.99999	147
Caust.v2_000663	747.0000131197	991.99999037592	1020.999236238	1021.99999	913	1179.999	957.0000000226	1028.00000067235	1702.00004	1074.00012	879.0000243278	966.999990048906
Caust.v2_000664	1010	216	614	681	178	1311	5796	4276	786	575	793	14356
Caust.v2_000673	284	705	313	799	579	177	317	441	301	341	676	277
Caust.v2_000674	858	596	712	682	574	635	622	812	600	527	526	796
Caust.v2_000675	44	17	29	30	31	39	19	38	31	15	18	38
Caust.v2_000676	374	368	384	472	402	361	383	555	401	295	347	506
Caust.v2_000677	33	20	23	103	17	13	32	44	15	36	31	144
Caust.v2_000678	729	399	613	484	543	606	1126	406	568	486	658	1049
Caust.v2_000679	576	1035	1166	1515	962	850	533	879	910	681	912	1144
Caust.v2_000680	99	120	772	137	107	78	66	116	79	90	69	67
Caust.v2_000681	1291	1541	1438	2028	1520	1716	1480	2035	2182	1367	1613	1749
Caust.v2_000682	1487	919	1006	1513	887	1011	1198	1567	830	1020	1122	1617
Caust.v2_000683	420	309	390	324	290.0001	309	282.9999	363.999	360.999	285	318	408.999
Caust.v2_000684	2659.28	2226	1967	2873	1870	2115	2719	2994	2006	1969	2121	3718
Caust.v2_000685	2360.001	907	1573.002	1788	916	3308	5876	5999.998	2031.999	1918.003	1658.001	7531
Caust.v2_000686	580	593	526	805	560	559	778	915	586	501	598	952
Caust.v2_000687	282	188.0001	261	281.0001	140.0001	251.0001	225	270	192.9999	206.0001	216	228.9999
Caust.v2_000688	1017	945	954	1199	737	856	815	1139	793	998	831	1095
Caust.v2_000690	375	391	234	1026	715	916	118	709	1090	724	902	158
Caust.v2_000693	3	4	1	3	2	5	3	7	6	0	2	2
Caust.v2_000700	392	419	384	580	398	267	168	262	398	392	365.042	204
Caust.v2_000707	0	7	2	5	3	5	0	4	10	0	6	2
Caust.v2_000732	212	230	164	305	166	176	171	237	181	193	178	295
Caust.v2_000733	0	1	0	0	0	3	2	4	2	4	0	0
Caust.v2_000739	16	6	4	15	9	7	15	14	14	17	11	4
Caust.v2_000740	109	44	44	164	25	81	85	144	126	158	86	67
Caust.v2_000741	201	109	128	159	122	127	91	164	155	162	134	108
Caust.v2_000742	12	13	8	7	15	4	6	7	10	9	4	5
Caust.v2_000745	195	156	173	206	278	141	122	181	183	152	129	129
Caust.v2_000750	556	449	574	650	818	479	344	513	511	387	322	358
Caust.v2_000751	4	3	3	9	20	5	0	3	4	2	3	1
Caust.v2_000760	79	27	52	65	22	62	48	58	36	54	41	70
Caust.v2_000770	0	0	0	0	0	1	1	1	2	0	0	2
Caust.v2_000781	4	4	9	3	8	7	3	8	12	5	5	4
Caust.v2_000783	441	244	297	316	160	365	305	321	329	267	306	479
Caust.v2_000784	1304	1070	1256	1333	990	1042	1395	1376	1083	1037	1015	1938
Caust.v2_000785	551	257	412	428	222	478	741	846	344	357	370	1159
Caust.v2_000791	37	11	15.0096	24	13	11	7	9	33	19	24	17
Caust.v2_000792	927	473	603	618	313	800	1215	1311	556	614	574	1371
Caust.v2_000793	45	28	22	11	8	15	36	28	11	17	15	37
Caust.v2_000795	21	4	7	4	3	9	9	15	10	14	8	14
Caust.v2_000796	6	2	2	0	0	1	2	2	6	2	2	0
Caust.v2_000798	3	1	2	4	2	0	2	4	1	0	2	1
Caust.v2_000806	388	324	313	423	228	314	251	459	359	312	335	244
Caust.v2_000808	1283.0031	790.999587952	1040.999	920.9995316	696	891.000214	967.00022696	1027.99856	784.9996	803.00002	832.99962	1055.99868
Caust.v2_000809	6	3	5	14	5	4	5	4	9	4	8	2
Caust.v2_000810	178	132	191	223	157	232	162	138	217	187	182	106
Caust.v2_000811	28	45	28	41	28	39	23	29	26	44	38	9
Caust.v2_000812	600.99952	1835.9994	1017.995034	1382.99648	1026.998136	864	973	1222.998024	1118	1920.9999	1527	740
Caust.v2_000813	1026	984	900	1166	913	861	921	951	944	724	963	1036
Caust.v2_000814	404	422	391	515	355	299	311	406	360	242	426	470
Caust.v2_000815	501	392	599	388	348	424	393	433	425	378	352	316
Caust.v2_000816	992	848	913	719	745	879	741	766	989	576	669	824
Caust.v2_000817	3527	7894	4723	5726	6473	3772	4299	5396	5883	2973	5242	2585
Caust.v2_000818	3470	2170	2712	2944	2119	3082	3987	4613	2563	2426	2392	6198
Caust.v2_000819	1288	850	1065	1095	758	875	1314	1496	829	726	914	1701
Caust.v2_000820	207	222	212	242	196	199	165	239	200	205	136	233
Caust.v2_000821	63.8072	87.0024	84.125	80.5334	57.1929	82.3828	36.6243	74.1423	54.3022	55.8005	61.9185	56.2982
Caust.v2_000822	25.1928	46.9976	30.875	56.4666	46.8071	47.6172	25.3757	25.8577	57.6978	34.1995	29.0815	40.7018
Caust.v2_000823	254	162	195	201	187	201	197	248	190	141	186	321
Caust.v2_000824	1030	1228	1283	1445	1072	1653	2191	2267	2061	1226	1661	2205
Caust.v2_000825	765	447	459	684	426	547	816	876	421	526	508	1112
Caust.v2_000827	218	184	184	214	201	157	206	166	213	105	142	236
Caust.v2_000828	237	145	205	213	140	226	188	289	231	121	179	318
Caust.v2_000829	1052	741	829	1212	751	730	826	1124	758	809	829	1289
Caust.v2_000830	402	283	405	298	297	430	355	471	383	225	292	584
Caust.v2_000831	1218	947	960	1448	1105	959	874	1128	869	893	963	956
Caust.v2_000832	65	34	52	54	40	41	64	67	24	35	36	59
Caust.v2_000833	741	383	532	462	375	606	656	830	465	503	418	746
Caust.v2_000834	40	25	57	33	20	48	44	66	25	33	20	37
Caust.v2_000835	589	364	420	600	357	443	652	661	386	334	433	1352
Caust.v2_000836	246	148	267	190	184	197	194	268	205	168	209	245
Caust.v2_000837	875	440	628	771	509	583	635	889	596	518	618	952
Caust.v2_000838	2019	1359	1426	2295	1054	1575	1772	2512	1224	1508	1290	1780
Caust.v2_000839	235	586	524	536	440	321	282	346	264	402	285	389
Caust.v2_000843	4161	10628	6864	8764	2922	4319	4664	3890	3161	8282	4325	4322
Caust.v2_000845	1913	5399	3990	6386	3888	1880	1182	2168	2439	3284	3137	1299
Caust.v2_000847	371	315	276	347	245	274	324	417	200	313	285	422
Caust.v2_000849	502	459	572	549	448	417	510	649	470	362	446	845
Caust.v2_000850	4377	1345	2229	3321	1278	3421	3013	4237	1828	3926	2455	4898
Caust.v2_000851	193	35	107	140	58	179	117	153	91	148	81	161
Caust.v2_000852	23	16	32	32	27	44	12	8	31	13	14	12
Caust.v2_000853	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000857	1	0	1	1	0	0	2	1	1	1	0	0
Caust.v2_000870	0	0	0	1	0	4	0	1	0	0	0	0
Caust.v2_000874	1	0	0	0	0	0	0	2	0	0	1	0
Caust.v2_000878	1294.43	2130	1275	2454.23	1954.4	506.769	613.759	954.522	1285.77	1058.46	1402.38	659.187
Caust.v2_000883	19	5	17	12	12	5	9	9	3	5	17	7
Caust.v2_000900	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000901	2382	1356	1779	2045	1186	1888	2566	2861	1618	1721	1578	2814
Caust.v2_000902	2844	3160	2883	3382	2558	2197	1922	2332	2637	2463	2725	2043
Caust.v2_000903	1653	1167	1532	1473	1146	1267	1171	1327	1104	975	1124	1265
Caust.v2_000904	865	656	637	1137	530	741	430	925	779	687	587	626
Caust.v2_000905	1789	2949	2041	5976	1613	6041	2718	7743	8129	8964	2905	3774
Caust.v2_000908	1239	948	1016	1308	826	863	1022	1164	866	802	930	1289
Caust.v2_000910	583.256	182.509	404.508	317.473	142.223	573.731	960.452	1178.4	333	380.315	398.795	1157.54
Caust.v2_000911	631	330	576	446	384	520	551	705	503	388	482	801
Caust.v2_000912	1459	1210	1407	1546	1032	1295	1264	1528	1258	1103	1250	1148
Caust.v2_000913	1917	1067	1322	1399	870	1703	1896	2111	1260	1437	1182	2509
Caust.v2_000914	2970	2022	2073	2165	1396	2788	3878	4620	2488	2036	2384	5009
Caust.v2_000915	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_000923	0	1	0	0	0	0	0	2	0	0	0	0
Caust.v2_000925	33	19	46	52	33	90	44	30	59	25	43	75
Caust.v2_000932	25	21	22	26	14	27	28	21	28	15	19	32
Caust.v2_000945	45	33	24	27	16	74	28	16	53	39	36	44
Caust.v2_000951	0	1	1	5	0	0	1	1	1	2	0	2
Caust.v2_000958	0	0	0	3	0	2	0	0	0	0	0	0
Caust.v2_000967	138	119	113	139	91	130	160	152	134	118	75	165
Caust.v2_000968	1023	587	878	799	671	902	1020	1096	791	774	707	1211
Caust.v2_000969	449	247	379	415	218	469	794	812	323	390	343	1191
Caust.v2_000970	24	15	19	4	9	22	9	6	29	21	8	18
Caust.v2_000971	2	2	1	0	5	0	0	1	2	0	2	0
Caust.v2_000972	455	875	941	965	676	587	928	772	606	529	1022	1161
Caust.v2_000973	269	200	295	230	230	221	244	261	193	207	203	277
Caust.v2_000974	144	126	152	96	102	129	188	175	131	118	128	216
Caust.v2_000975	9.98654	24.0355	16.9019	24	5.26679	6.6272	3.30727	37.8055	2.83693	7.67	11.0959	2.30349
Caust.v2_000976	38	90	92	170	87	35	84	164	43	40	104	63
Caust.v2_000979	411	543	429	627	442	324	294	399	444	343	472	288
Caust.v2_000980	654	830	548	637	591	267	181	229	357	418	399	204
Caust.v2_000981	0	3	0	0	1	0	0	0	0	0	2	1
Caust.v2_000986	955	762	880	1113	813	897	1092	1272	886	884	850	1384
Caust.v2_000987	886	499	576	660	388	771	1124	1217	561	539	578	1958
Caust.v2_000988	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000989	1694.75	1165.61	1402.1	1257.73	1131.07	1343.76	1124.72	1445.42	1229.36	1149.7	1043.16	1095.86
Caust.v2_000999	7	8	12	5	4	5	2	6	16	3	19	6
Caust.v2_001000	1071	810	749	1055	673	855	1225	1336	743	734	835	1924
Caust.v2_001001	72	27	44	35	44	42	22	22	45	23	48	21
Caust.v2_001004	5295.997	4151.997	4668.999	4815.997	3801.001	4041.001	3875.997	4944.999	3926.001	3580.998	4004.999	5818
Caust.v2_001005	891	459	849	645	397	800	700	886	627	663	562	1084
Caust.v2_001006	557	288	456	442	286	452	389	567	353	371	344	577
Caust.v2_001007	95	47	58	43	31	57	97	93	63	57	57	183
Caust.v2_001008	55	38	68	31	30	56	97	111	45	45	50	243
Caust.v2_001009	939	299	720	698	184	1233	3907	2859	669	644	727	5828
Caust.v2_001010	1330	751	1145	1006	807	1113	1292	1526	968	988	911	1503
Caust.v2_001011	557	390	535	544	479	515	434	524	546	348	476	476
Caust.v2_001012	2071	961	1648	1393	921	2422	3234	4584	1468	1258	1244	4701
Caust.v2_001013	1946	2015	2164	2210	1609	1683	2077	2229	1795	1600	1821	2398
Caust.v2_001014	1597	1349	1473	2009	1388	1027	1073	1325	1194	1159	1468	1232
Caust.v2_001016	540.9996	390	521.0004	484.999667202	398.0001594	509.9998	568.00036	591.9996	488.9996	404	429.9996	534.9998
Caust.v2_001017	128	413	137	201	169	47	189	99	93	302	159	83
Caust.v2_001018	1341	2479	2037	1780	1728	2111	1878	3154	1700	1608	2321	1728
Caust.v2_001019	813	832	1032	1145	1072	780.00003	581	1089	1062.0000000199	671	867	773
Caust.v2_001020	801	515	680	671	486	625	631	852	697	554	525	701
Caust.v2_001021	438	359.001	411.999	378	381.999	375	138.9999	241.00014826	402	317.001	383.001	342
Caust.v2_001022	6	3	1	3	3	6	2	12.2988	9.11816	1	3	10
Caust.v2_001023	1087	727	839	1176	619	744	1082	1430.7	649.882	859	823	1302
Caust.v2_001024	508	280	372	388	265	377	387	445	318	339	346	423
Caust.v2_001025	2240	1929	2050	2418	1894	2102	1829	2630	1957	1792	2032	2072
Caust.v2_001026	462	143	322	317	155	379	494	537	282	393	262	601
Caust.v2_001027	2419	880	1585	1759	821	2213	2857	3060	1236	1911	1505	3530
Caust.v2_001028	2108	1845	1774	2411	1486	1602	2046	2743	1624	1831	1711	3320
Caust.v2_001029	643	430	399	587	431	456	634	739	454	508	463	1090
Caust.v2_001030	2056	1955	3187	1400	2242	1361	2199	2630	2278	1390	2345	1117
Caust.v2_001031	708.999	493.9999	716.0001	602.0001	491.0001	724.0001	962	1218.0001	734	586.9999	579.9999	1235.9999
Caust.v2_001032	20652	16743.99	17724.99	20781.99	17666.01	14829	14552.01	21552	14307	13863	16419	22473.99
Caust.v2_001033	2027.999	1681.9998	1543	1602.0005	1622.9995	1312	1067	1726	1519.9995	1382	1421.9997	1267
Caust.v2_001034	531	277	409	325	254	481	588	647	355	476	415	707
Caust.v2_001035	454	295	462	423	279	522	378	561	380	321	348	587
Caust.v2_001036	1480	1291	1324	1673	1175	1184	1234	1609	1072	1302	1180	1306
Caust.v2_001037	5774	5769	6671	6057	5089	4715	4181	5753	4542	4302	4334	5885
Caust.v2_001038	1410	692	1115	853	991	1138	1125	1485	918	730	968	1494
Caust.v2_001039	812	516	645	757	515	789	1021	1215	626	651	683	1500
Caust.v2_001040	519	380	534	534	405	574	652	644	537	418	514	787
Caust.v2_001041	1083	968	1092	1071	864	859	1167	1308	814	671	935	1616
Caust.v2_001042	111	124	170	185	116	95	166	132	112	106	150	129
Caust.v2_001043	1333	1065	1215	1522	1036	1222	1380	1652	1095	962	1187	1837
Caust.v2_001044	2389	1715	1868	2346	1460	1818	2181	2617	1701	1515	1676	2902
Caust.v2_001045	2972	2559	2554	3393	2349	2524	2628	3799	2720	2420	2437	3558
Caust.v2_001046	2214	1760	2074	2403	1486	1962	2595	2812	1597	1785	1913	3332
Caust.v2_001047	144	153	177	168	135	180	175	201	173	132	194	209
Caust.v2_001048	3961	3875	3687	4354	3385	4004	4256	5688	4096	3598	4554	5761
Caust.v2_001049	573	297	440	625	285	528	866	1077	465	360	482	1741
Caust.v2_001050	28	30	36	34	30	25	35	27	34	18	26	54
Caust.v2_001051	3206	2384	2233	3420	1921	2591	3844	4221	2183	2376	2811	5628
Caust.v2_001052	724	531	586	651	478	550	717	763	563	496	550	1006
Caust.v2_001053	1044	831	1029	1094	907	898	726	1002	1028	895	823	785
Caust.v2_001054	396	459	396	574	392	374	428	539	459	336	529	526
Caust.v2_001055	1077	679	846	949	535	986	1754	1807	791	775	841	2671
Caust.v2_001056	279	152	202	212	160	241	283	323	205	180	167	357
Caust.v2_001057	170	65	140	155	63	220	736	563	142	152	171	1482
Caust.v2_001058	9	5	8	11	8	8	11	17	7	7	5	7
Caust.v2_001060	29	41	40	53	30	24	18	25	45	24	35	5
Caust.v2_001065	77	53	61	100	69	68	34	40	81	57	59	53
Caust.v2_001068	458	444	436	455	353	442	229	307	486	339	317	259
Caust.v2_001069	6839	7258	7325	8150	6440	7616	5286	7665	8750	5579	6622	6267
Caust.v2_001070	657	717	586	763	529	536	670	819	539	568	652	884
Caust.v2_001071	73	95	208	380	224	1346	57	53	1521	266	151	111
Caust.v2_001075	62	90	89	104	78	421	24	34	736	59	72	13
Caust.v2_001077	1	9	5	8	7	7	1	2	11	4	4	1
Caust.v2_001080	138.229	227.536	217.477	263.112	202.436	138.657	48.028	108.704	177.133	173.081	153.225	93.6006
Caust.v2_001081	26.7705	34.4639	29.5229	51.8875	49.5638	41.3435	10.972	14.2962	60.867	27.9193	11.775	10.3994
Caust.v2_001082	366.913	248.92	410.987	397.612	354.358	226.417	240.283	298.921	283.621	272.759	317.668	197.751
Caust.v2_001083	935.087	909.08	1367.01	1528.39	1233.64	812.583	621.717	853.079	1205.38	909.241	1394.33	720.249
Caust.v2_001085	19	21	36	32	26	27	11	19	31	24	26	17
Caust.v2_001086	10	5	12	16	7	11	1	12	15	4	5	2
Caust.v2_001087	8318	12287	9384	11895	10331	6150	5473	7357	8472	7908	9155	4263
Caust.v2_001088	17	10	18	17	10	21	10	15	19	14	14	5
Caust.v2_001089	1051	4630	3353	3409	2175	2387	13159	3314	2712	4411	4117	3382
Caust.v2_001090	35	256	117	79	164	114	1371	243	164	139	130	318
Caust.v2_001092	509	810	479	608	393	552	758	718	450	496	568	1027
Caust.v2_001093	1039	1306	1101	1486	1176	885	1132	1277	1085	909	1172	1433
Caust.v2_001094	616	430	570	510	401	567	510	646	559	444	412	717
Caust.v2_001095	315	334	296	471	299	261	332	374	267	264	337	551
Caust.v2_001097	63	79	64	81	57	48	64	53	77	41	54	54
Caust.v2_001098	63	75	63	55	46	52	34	50	53	59	64	34
Caust.v2_001099	253	194	166	302	194	172	179	241	180	193	160	225
Caust.v2_001100	3965	4044	3093	4151	3959	2681	2724	3784	3404	2710	2814	3596
Caust.v2_001101	775.362	658.601	757.626	864.848	589.979	685.805	618.993	716.351	683.04	654.387	736.237	698.889
Caust.v2_001102	104.638	133.399	149.374	189.152	104.021	88.1952	109.007	97.649	109.96	108.613	133.763	99.1107
Caust.v2_001103	1238	823	1091	1189	802	970	1244	1372	831	1047	1021	1512
Caust.v2_001104	711	369	581	598	312	745	1948	1646	607	500	590	1845
Caust.v2_001105	664	370	562	433	280	564	708	828	439	436	434	875
Caust.v2_001106	92	58	50	50	57	61	44	46	75	42	62	49
Caust.v2_001108	948	679	558	633	594	470	552	1039	451	489	486	891
Caust.v2_001109	151	59	122	71	158	120	53	71	63	85	83	62
Caust.v2_001110	276	201	82	146	122	73	33	419	71	72	103	355
Caust.v2_001111	417.168	272	412.484	369	239	335	451	441	288	308	287	707
Caust.v2_001112	897	593.001	740.001	662.001	525	728.001	786.999	950.001	648.999	663.999	591	996
Caust.v2_001113	2111	1379	1956	1726	1180	1773	1874	2268	1543	1557	1440	2468
Caust.v2_001114	399.999	315.999	416.001	435.999	401.001	363.999	348.999	429.999	396.999	315.999	390	471.999
Caust.v2_001115	1002.999	626	899.999	960.999	683	834.001	984.001	1129.001	696.001	743.001	773	1334
Caust.v2_001116	350	343	321	340	224	362	381	464	274	284	354	530
Caust.v2_001117	593	407	491	507	458	530	538	687	545	420	482	677
Caust.v2_001118	2040.53	2048.69	1931.93	2811.73	1554.39	1797.45	2473.17	2666.65	1667.16	1627.33	2044.33	3975.15
Caust.v2_001120	0	0	0	1.00661	0	1	0	0	0	0	0	0
Caust.v2_001121	2207.47	2489.31	2457.07	2957.26	1925.61	1939.55	3148.83	2933.35	1872.84	1967.67	2515.67	4176.85
Caust.v2_001122	2803	1862	2139	2240	1467	2420	2795	3120	1905	1976	1899	3892
Caust.v2_001123	809	1219	897	1331	849	846	712	825	1163	716	970	627
Caust.v2_001124	1	0	351	1	1	0	1	6	5	0	2	2
Caust.v2_001126	162	118	183	174	149	192	376	356	186	146	185	441
Caust.v2_001127	24	2	27	16	20	13	43	48	21	17	10	46
Caust.v2_001133	252	245	182	262	208	206	223	282	217	165	170	267
Caust.v2_001134	307	258	224	356	285	244	227	298	253	230	213	272
Caust.v2_001135	1	0	0	1	0	1	2	1	6	7	1	0
Caust.v2_001137	7031	15106	10495	11796	9419	10776	7555	10889	14208	9873	12842	10052
Caust.v2_001138	1056	899	823	1301	879	854	701	1150	921	686	825	1155
Caust.v2_001139	68	48	55	99	38	76	33	68	81	66	44	86
Caust.v2_001143	1816.86	899.81	930.708	1837.89	792.908	1031	989	1365.44	912	1197.56	1095	1680
Caust.v2_001144	37.136	27.19	21.2916	30.1141	10.0919	29	10	22.5633	26	19.4419	18	16
Caust.v2_001145	2104	1953.999	2295.001	2667.001	1932.001	2092.001	2268.001	2713.999	2088.999	1862	2183.001	3157.001
Caust.v2_001146	24	24	29	23	22	19	14	21	40	20	18	26
Caust.v2_001147	45	36	36	33	25	69	34	28	27	36	35	43
Caust.v2_001148	6	5	6	6	2	13	8	10	8	10	1	6
Caust.v2_001153	5	11	7	3	5	8	8	12	19	12	2	13
Caust.v2_001155	40	15	37	42	43	20	4	7	22	25	16	6
Caust.v2_001158	369.738	229.46	439.773	360.456	396.611	166.391	49.6034	132.851	215.728	281.122	308.156	117.345
Caust.v2_001161	1968	983	1482.0004	1549.0002	625.9995	1760.0004	3237.0058	3602.0026	1060.9997	1827.0002	1164.9998	4867.0092
Caust.v2_001167	667	389	596	582	454	583	713	845	480	472	482	939
Caust.v2_001168	1	2	1	8	2	3	0	1	1	0	0	0
Caust.v2_001169	15.000018	6	18	15	26	35	3	16	28	8	10	8
Caust.v2_001170	5.94076	3	0	9	6	8.59449	2	0	4	4	2	3
Caust.v2_001171	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_001172	0	0	2	0	0	0	0	0	0	0	0	0
Caust.v2_001175	0	164	0	0	0	10	0	0	17	0	0	0
Caust.v2_001176	0	0	2	0	0	4	0	0	0	0	1	1
Caust.v2_001177	0	4	0	1	0	0	1	0	1	0	1	0
Caust.v2_001179	103	54	71	20	35	82	17	67	64	48	92	44
Caust.v2_001180	31	22	26	10	11	21	22	34	15	21	50	18
Caust.v2_001182	2132	563	1179	1316	496	1546	1716	1989	1020	1240	1226	2272
Caust.v2_001183	26	6	20	3	2	9	7	15	17	13	12	13
Caust.v2_001185	808	532	559	722	387	433	475	740	508	455	777	363
Caust.v2_001191	42	30	34	25.3813	31	35	14	20	30	26.6304	18	29.6331
Caust.v2_001194	598	535	612	616	387	541	764	888	509	474	526	1128
Caust.v2_001195	3076	1409	1829	1792	1100	2118	2101	2602	2076	2070	1608	2583
Caust.v2_001196	1316	1961	1232	2413	1497	1294	1287	1524	1768	1384	1760	1523
Caust.v2_001199	24.5	15	24.5	49	33	29	16	34	36.5	35.5	28.5	37
Caust.v2_001200	24.5	15	24.5	49	33	29	16	34	36.5	35.5	28.5	37
Caust.v2_001204	4	1	9	5	7	3	1	11	13	4	7	2
Caust.v2_001209	25	10	33	51	43	24	3	17	34	18	25	10
Caust.v2_001210	11	15	24	48	48	17	5	19	38	15	30	5
Caust.v2_001212	284	243	197	284	233	230	190	255	226	175	298	194
Caust.v2_001213	206.99965	488.9998	214.00001	512.000112525	570.9997	147.99951112409	132.00005	228.00032	219.99985	249.9999	380.00046	183.99983336
Caust.v2_001215	2	2	6	9	5	4	1	10	25	6	10	5
Caust.v2_001218	562	366	459	620	355	578	254	544	595	414	469	253
Caust.v2_001219	0	0	1	0	0	1	0	2	0	0	2	1
Caust.v2_001220	1394	600	902	934	659	918	895	1039	840	730	812	1166
Caust.v2_001221	912	570	622	590	431	661	793	921	624	568	712	997
Caust.v2_001222	1721	1432	1498	1939	1524	1687	2072	2242	1659	1381	1937	2394
Caust.v2_001223	579	868	668	846	493	556	759	854	617	551	801	662
Caust.v2_001224	3859	13165	8169	9299	4644	5155	9853	6577	5118	9389	6739	4809
Caust.v2_001225	1	13	7	8	12	5	12	7	4	5	8	10
Caust.v2_001228	821.001	1682.001	1136.001	1188	623.001	731.001	1134	1104	720	1077	1140.999	1329
Caust.v2_001229	14004	9469	11700	12700	9525	17209	17345	19658	13357	11755	10671	23568
